simil,paths
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://dbpedia.org/resource/Taxation_in_the_United_States\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Update_37020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Confirm_29050200\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Begin_55010100\n', 'http://dbpedia.org/resource/Iraq\n', 'http://schema.org/Event\n', 'http://dbpedia.org/resource/Apollo_11\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://dbpedia.org/resource/Ohio\n', 'http://schema.org/BodyOfWater\n', 'http://dbpedia.org/resource/Ohio\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_States\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://dbpedia.org/resource/Taxation_in_the_United_States\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Update_37020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Confirm_29050200\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Begin_55010100\n', 'http://dbpedia.org/resource/Iraq\n', 'http://schema.org/Event\n', 'http://dbpedia.org/resource/Apollo_11\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_States\n']"
0.1658254364,"['http://dbpedia.org/resource/Mike_Huckabee\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Create_26040000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Fire_17010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Person\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Port\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Entry\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Distinguish\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n']"
0.1658254364,"['http://dbpedia.org/resource/Mike_Huckabee\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Create_26040000\n', 'http://dbpedia.org/resource/Iran\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_States\n']"
0.1665571191,"['http://dbpedia.org/resource/Joy_Behar\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Fire_17010100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Impose_63000000\n', 'http://dbpedia.org/resource/United_States_Department_of_State\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Lose_13020000\n', 'http://dbpedia.org/resource/Florida\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shooting\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#More\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Compare\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_States\n']"
0.1665571191,"['http://dbpedia.org/resource/Joy_Behar\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Fire_17010100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Impose_63000000\n', 'http://dbpedia.org/resource/United_States_Department_of_State\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Lose_13020000\n', 'http://dbpedia.org/resource/Florida\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shooting\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#More\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Compare\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://dbpedia.org/resource/George_Soros\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Orchestrate\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#RacialProtest\n', 'http://dbpedia.org/resource/Charlottesville,_Virginia\n', 'http://schema.org/City\n', 'http://dbpedia.org/resource/New_York_City\n']"
0.17020704920000002,"['http://dbpedia.org/resource/The_T.O._Show\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Show_40032000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_States\n']"
0.17020704920000002,"['http://dbpedia.org/resource/Carl_Sagan\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#carl_sagan_1\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Show_40032000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Work_73000300\n', 'http://dbpedia.org/resource/George_Soros\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Orchestrate\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#RacialProtest\n', 'http://dbpedia.org/resource/Charlottesville,_Virginia\n', 'http://schema.org/City\n', 'http://dbpedia.org/resource/Seattle\n']"
0.1713419632,"['http://dbpedia.org/resource/Amnesty_International\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Report_29090100\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Update_37020000\n', 'http://dbpedia.org/resource/Taxation_in_the_United_States\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_Kingdom\n']"
0.1713419632,"['http://dbpedia.org/resource/United_Kingdom\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/North_Korea\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Detain_92000000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Address_25030000\n', 'http://dbpedia.org/resource/Twitter\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Describe_29020110\n', 'http://dbpedia.org/resource/Immigration\n', 'http://dbpedia.org/resource/Slavs\n', 'http://dbpedia.org/resource/Latin\n', 'http://schema.org/Language\n', 'http://dbpedia.org/resource/English_language\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Archer\n', 'http://dbpedia.org/resource/English_language\n']"
0.1713419632,"['http://dbpedia.org/resource/Americans\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#AmericanGold\n', 'http://dbpedia.org/resource/Gold\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#GoldBall\n', 'http://dbpedia.org/resource/Ball_of_Fire\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#NowPlay\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Play_36030100\n', 'http://dbpedia.org/resource/Mar-a-Lago\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Weekend\n', 'http://dbpedia.org/resource/Islamabad\n', 'http://dbpedia.org/resource/Pakistan\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_Kingdom\n']"
0.1713419632,"['http://dbpedia.org/resource/White_people\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#DomesticTerroristGroup\n', 'http://dbpedia.org/resource/Domestic_terrorism\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#muslim_terrorists_1\n', 'http://dbpedia.org/resource/Philippines\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_Kingdom\n']"
0.1713419632,"['http://dbpedia.org/resource/Jews\n', 'http://dbpedia.org/resource/Denmark\n', 'http://schema.org/Country\n', 'http://dbpedia.org/resource/United_Kingdom\n']"
